,PF_EC19,PF_EC22,PF_EC12,PF_EC07,PF_EC02,PF_EC03,PF_EC10,PF_EC21,PF_EC16,PF_EC25,PF_KPN10,PF_KPN14,PF_KPN01,PF_KPN16,PF_KQ01,PF_KPN09,PF_KPN12,PF_KPN02,PF_KPN11,PF_KQ04
RM_Type_I_A,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_I_B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_I_C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_I_D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RM_Type_I_E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_I_F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_I_G,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_I_H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_I_I,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RM_Type_I_J,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
RM_Type_I_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RM_Type_I_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RM_Type_I_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
RM_Type_I_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RM_Type_II_A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_II_B,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_II_C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_II_D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_II_E,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_II_F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_II_G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_II_H,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RM_Type_II_I,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
RM_Type_II_J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RM_Type_IIG_A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_IIG_B,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
RM_Type_IV_A,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_IV_B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_IV_C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_IV_D,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RM_Type_IV_E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM_Type_IV_F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RM_Type_IV_G,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RM_Type_IV_H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RM_Type_IV_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RM_Type_IV_J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RM_Type_IV_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RM_Type_IV_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RM_Type_IV_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RM_Type_IV_N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RM_Type_IV_O,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
