Name	Type	Species	MIC_AMC	MIC_ERT	MIC_IMP	MIC_MER
PF_EC02	WT	E_coli	32	1	0.5	2
PF_EC03	WT	E_coli	32	1	2	2
PF_EC05	WT	E_coli	16	1	2	2
PF_EC06	WT	E_coli	32	1	2	2
PF_EC07	WT	E_coli	64	0.5	2	2
PF_EC10	WT	E_coli	64	1	2	2
PF_EC11	WT	E_coli	32	0.5	0.5	0.5
PF_EC14	WT	E_coli	8	1	2	2
PF_EC16	WT	E_coli	32	1	2	2
PF_EC20	WT	E_coli	32	1	2	2
PF_EC21	WT	E_coli	64	8	0.5	2
PF_EC22	WT	E_coli	32	0.5	0.5	2
PF_EC23	WT	E_coli	64	1	0.5	4
PF_EC24	WT	E_coli	64	0.5	2	4
PF_EC25	WT	E_coli	128	1	2	4
PF_KPN01	WT	Klebsiella_spp	128	4	16	4
PF_KPN03	WT	Klebsiella_spp	128	4	1	8
PF_KPN04	WT	Klebsiella_spp	32	16	4	8
PF_KPN06	WT	Klebsiella_spp	128	16	16	8
PF_KPN08	WT	Klebsiella_spp	64	4	16	8
PF_KPN09	WT	Klebsiella_spp	128	4	2	0.5
PF_KQ02	WT	Klebsiella_spp	128	2	4	0.5
PF_KQ03	WT	Klebsiella_spp	128	4	16	2
PF_KPN11	WT	Klebsiella_spp	256	4	16	8
PF_KQ05	WT	Klebsiella_spp	64	4	16	2
PF_KV01	WT	Klebsiella_spp	64	2	16	8
PF_KPN12	WT	Klebsiella_spp	128	4	16	8
PF_KPN13	WT	Klebsiella_spp	128	2	16	2
PF_KPN15	WT	Klebsiella_spp	256	8	4	8
PF_KPN16	WT	Klebsiella_spp	16	8	16	8
PF_KPN18	WT	Klebsiella_spp	256	8	16	8
PF_KPN19	WT	Klebsiella_spp	128	2	16	8
PF_KPN20	WT	Klebsiella_spp	32	2	16	8
TC_EC02	TC	E_coli	8192	8	64	4
TC_EC03	TC	E_coli	8192	16	64	8
TC_EC05	TC	E_coli	6144	8	64	4
TC_EC06	TC	E_coli	6144	16	64	4
TC_EC07	TC	E_coli	6144	8	64	8
TC_EC10	TC	E_coli	3072	4	64	2
TC_EC11	TC	E_coli	3072	16	64	2
TC_EC14	TC	E_coli	8192	16	64	4
TC_EC16	TC	E_coli	8192	16	256	16
TC_EC20	TC	E_coli	3072	4	2	2
TC_EC21	TC	E_coli	8192	16	64	8
TC_EC22	TC	E_coli	4096	16	64	8
TC_EC23	TC	E_coli	4096	16	64	8
TC_EC24	TC	E_coli	4096	16	64	4
TC_EC25	TC	E_coli	512	2	64	8
TC_KPN01	TC	Klebsiella_spp	16384	16	256	8
TC_KPN03	TC	Klebsiella_spp	28672	16	256	8
TC_KPN04	TC	Klebsiella_spp	5120	32	256	16
TC_KPN06	TC	Klebsiella_spp	65536	256	1024	32
TC_KPN08	TC	Klebsiella_spp	65536	64	256	8
TC_KPN09	TC	Klebsiella_spp	10240	16	64	8
TC_KQ02	TC	Klebsiella_spp	10240	16	64	4
TC_KQ03	TC	Klebsiella_spp	14336	16	128	4
TC_KPN11	TC	Klebsiella_spp	65536	16	1024	32
TC_KQ05	TC	Klebsiella_spp	24576	16	64	8
TC_KV01	TC	Klebsiella_spp	65536	16	256	16
TC_KPN12	TC	Klebsiella_spp	14336	16	256	16
TC_KPN13	TC	Klebsiella_spp	28672	32	128	16
TC_KPN15	TC	Klebsiella_spp	65536	16	1024	16
TC_KPN16	TC	Klebsiella_spp	1024	4	1024	16
TC_KPN18	TC	Klebsiella_spp	14336	16	1024	8
TC_KPN19	TC	Klebsiella_spp	8192	10	128	8
TC_KPN20	TC	Klebsiella_spp	8192	8	128	8
